question,answer,difficulty
"A woman in her 20s with a history of cystic fibrosis underwent bilateral endoscopic sinus surgery and medial maxillectomy 4 months after bilateral lung transplantation. She presented to her rhinologist for follow-up 6 weeks after surgery reporting improved nasal obstruction and olfaction, but complained of 2 weeks of throat pain and swelling. Physical examination revealed bilateral tonsillar erythema, exudate, tenderness, and peritonsillar edema. She was prescribed amoxicillin–clavulanic acid for presumed tonsillitis and began to improve. Two weeks later her symptoms returned, now accompanied by new-onset snoring and nasal obstruction. Nasal endoscopy revealed nasopharyngeal soft-tissue swelling with mucopurulent secretions on the left side. She was referred for a computed tomographic scan with contrast, which showed a rim-enhancing, multilocular hypodense collection extending from the left nasopharynx inferiorly to the level of the right palatine tonsil (Figure 1). On the basis of the radiographic findings, she was taken to the operating room urgently. Intraoperative endoscopy revealed ulceration and necrotic debris in the nasopharynx and oropharynx. Culture and biopsy specimens were obtained. What Is Your Diagnosis?",Posttransplant lymphoproliferative disorder,easy
"An adolescent girl presented with a history of multiple, slowly growing masses of the face and head. The lesions were first reported when she was 5 years of age and gradually increased in size. However, her medical history was otherwise unremarkable. On clinical examination, the lesions were hard in consistency with normal overlying skin. There was significant bilateral exophthalmos (the left eye was more pronounced), with visual changes, and dental malocclusion. However, there were no clinical signs of endocrinopathy. A skeletal survey showed no involvement of other bones. The patient’s serum calcium, phosphate, alkaline phosphatase, thyroid, and parathyroid hormone levels were within normal limits. A computed tomographic (CT) examination of the craniofacial skeleton was performed (Figure). Noncontrast axial bone algorithm computed tomographic images of the facial bones. What Is Your Diagnosis?",Fibrous dysplasia,easy
"A young boy presented to the emergency department with a 2-week history of left facial and eye pain with intermittent diplopia on upward and lateral gaze. He was otherwise healthy and exhibited no constitutional complaints. His remaining medical, surgical, family, and social history was noncontributory. Examination showed a healthy-appearing child with left abducens nerve palsy and an afferent pupillary defect. There was no chemosis, exophthalmos, or enophthalmos. Findings from nasal endoscopy were unremarkable. A computed tomographic scan of the sinuses without contrast showed a well-circumscribed posterior-medial extraconal mass extending into the orbital apex with smooth, nonaggressive bony remodeling and expansion of the left superior orbital fissure with further dorsal extension into the left cavernous sinus (Figure, A). Magnetic resonance imaging of the orbits showed that orbital component was inseparable from medial rectus muscle. Tumor also resulted in lateral displacement and compression of the left optic nerve (Figure, B). The patient underwent an image-guided left endoscopic orbital decompression with biopsy of the orbital mass. Representative hematoxylin-eosin–stained sections are shown in theFigure, C and D. The tumor was negative for FUS (FUsed in Sarcoma; also termed TLS, Translocated in LipoSarcoma)-CHOP (C/EBP HOmologous Protein; also termed DDIT3, DNA Damage-Inducible Transcript 3) fusion oncogene on fluorescent in situ hybridization (FISH). A, Axial cut of noncontrast computed tomographic (CT) scan of facial bones. B, Axial cut of T1-weighted magnetic resonance image (MRI). C and D, Representative hematoxylin-eosin–stained histologic sections of the lesion. What Is Your Diagnosis?","Liposarcoma, pleomorphic myxoid variant",hard
"A woman in her 60s presented with a 2-year history of an abnormal left second fingernail. A previous biopsy showed a pyogenic granuloma, and she had been treated with curettage and electrodessication. In the few months before presentation, she experienced partial nail loss and her nail had become painful with intermittent drainage. Her medical history was significant for streptococcal glomerulonephritis and 2 prior kidney transplants. Her medications included prednisone, tacrolimus, and mycophenolate mofetil. Physical examination of the left second fingernail showed a tender ulcerated nodule encompassing the nail bed with near-complete nail loss and purulent drainage (Figure 1, left). A nail biopsy was repeated by performing a 4-mm punch through the nail bed. The specimen was analyzed by histopathology with hematoxylin-eosin staining and once again showed a pyogenic granuloma–like response characterized by proliferating blood vessels in a background of fibrosis and reactive plasmacytic infiltration (Figure 1, right). Careful inspection of the pyogenic granulomatous process at higher power demonstrated atypical epithelioid and spindled cells adjacent to blood vessels. Left, Physical examination of left second fingernail. Right, Histopathologic findings under low-power magnification (hematoxylin-eosin, original magnification ×20). What Would You Do Next?",Perform immunohistochemical analysis on the biopsy specimen,medium
"A 45-year-old man was hospitalized with abdominal pain. He was diagnosed with superior mesenteric vein thrombosis with mesenteric ischemia and treated with partial small bowel resection and 2 weeks of enoxaparin while hospitalized. Three weeks later, he presented again with abdominal pain. A computed tomography (CT) scan demonstrated fluid collections adjacent to the ascending colon and bowel wall thickening with intestinal pneumatosis consistent with ischemic bowel. Superior mesenteric vein thrombosis was redemonstrated on CT scan. An intravenous course of piperacillin-tazobactam was started, and an exploratory laparotomy with bowel resection was performed. Postoperatively, intravenous heparin was started. One day following surgery, a CT scan demonstrated a new left femoral vein thrombosis and pulmonary embolism. Laboratory data are shown inTable 1. How Would You Interpret These Test Results?",Replace heparin with argatroban for heparin-induced thrombocytopenia.,easy
"A middle-aged man sought treatment for a painful nonhealing foot ulcer of 1-year duration. The lesion had started on the left foot as a painful blister that eventually ruptured to form an ulcer, which subsequently progressed. During this time, multiple hypopigmented asymptomatic lesions appeared on his face and scalp. A diagnosis of multibacillary leprosy was considered previously in another health care facility for which multidrug therapy with rifampicin, 600 mg/mo, dapsone, 100 mg/d, and clofazimine, 50 mg/d, was administered for 6 months. There was no appreciable clinical improvement. On physical examination, an 8 × 6-cm ulcer was noted on the lateral aspect of the dorsum of the left foot (Figure, A). The ulcer was well defined with regular margins, and the floor was covered by a yellowish slough. Perilesional tenderness and pitting edema were observed. Multiple ill-defined, hypopigmented patches of various sizes were present on the scalp and face (Figure, B). Lesional appendages and sensations were preserved. Inguinal lymph nodes on both sides were enlarged, nontender, and movable. Peripheral nerve trunks were not thickened, and peripheral arteries could be easily palpated. Skin punch biopsy specimens were obtained from the ulcer (Figure, C and D) and a hypopigmented facial lesion. A, Nonhealing ulcer. B, Ill-defined hypopigmented macules on the left side of the face. Lesional skin appendages are preserved. C, Histologic analysis showing acute ulceration of the epidermis with granulation tissue and infiltrating neutrophils and macrophages (hematoxylin-eosin, original magnification ×100). D, Histologic analysis showing intracellular and extracellular inclusion bodies (hematoxylin-eosin, original magnification ×1000). What Is Your Diagnosis?",Post–kala-azar dermal leishmaniasis,hard
"A woman in her 80s presented with a 1-year history of blanchable, salmon-colored, monomorphic macules and fine telangiectasias localized to her right lower leg (Figure, A). The asymptomatic patch had slowly enlarged since initial onset, but remained confined to the single extremity. Physical examination revealed agminated and discrete erythematous macules as well as interspersed fine, reticulated telangiectases over the right pretibial leg (Figure, B). No edema or warmth of the affected area was observed, and there was no evidence of mucosal, conjunctival, or nail involvement. Findings on review of systems were negative for bleeding tendencies or hypercoagulability. A punch biopsy was performed (Figure, C and D). A, Reticulated, blanchable, salmon-colored patch on the pretibial leg. B, Individual fine, telangiectatic erythematous macules identified on closer inspection. C, Concentric deposits of hyaline material surround dilated and markedly thickened capillaries within the papillary dermis (original magnification ×200). D, Perivascular hyaline deposits are highlighted strongly by periodic acid–Schiff stain (original magnification ×200). What Is Your Diagnosis?",Cutaneous collagenous vasculopathy,easy
"A man in his 60s presented with severe fatigue. His medical history was significant for primary hyperparathyroidism 6 years prior to presentation, for which the patient refused therapeutic management. The patient was cachectic and exhibited significant muscular weakness. Clinical examination revealed a large tumor on the distal part of the right fourth finger (Figure, A) that had gradually enlarged in recent months. Radiography revealed complete lysis of the underlying phalanx and periosteal bone resorption in the phalangeal tuft band. A, The patient initially presented with a large tumor on the distal part of the right fourth finger. B, Histopathology shows numerous giant cells with multiple osteoclastlike nuclei, and (C) giant multinucleated cells dispersed in contact with fibers associated with the presence of a few small vessels. Laboratory evaluation revealed hypercalcemia at 3.6 mmol/L (reference range for total calcium, 2.05-2.55 mmol/L [to convert to mg/dL, divide by 0.25]), hypophosphatemia at 0.65 mmol/L (reference range for phosphate, 0.87-1.45 mmol/L), and elevated serum parathyroid hormone at 380 pmol/L (reference range, 1.6-6.9 pmol/L [to convert to ng/L, multiply by 1.355]). A chest radiograph revealed an important and unexplained deformation of the ribs. We performed a 3-mm punch skin biopsy on the tumor and performed histopathological analysis (Figure, B and C). What Is Your Diagnosis?",Brown tumor,medium
"A young girl presented for evaluation of hair loss. The mother stated that the patient was born with normal-appearing dark hair that fell out days after birth. This was replaced with “peach fuzz,” with no subsequent regrowth of normal hair. She denied pruritus. Family history was significant for similar hair loss in the patient’s maternal grandmother and maternal cousin. The patient had otherwise normal development. On physical examination, short, brittle terminal hairs of varying lengths covered the entire scalp. Follicular hyperkeratosis and perifollicular erythema were present, most prominently on the parietal and occipital scalp (Figure, A). Mild perifollicular keratotic papules were noted on the posterior upper arms. Teeth and nails showed no abnormalities. Her eyebrows and lashes were not affected. Results of trichography are shown (Figure, B). Photograph of a young patient with hair loss depicts shortened, thin hairs on the scalp of a child with follicular hyperkeratosis. Light microscopy of hair shaft at 4 × magnification shows a beaded appearance. What Is Your Diagnosis?",Monilethrix,easy
"A healthy 6-year-old boy presented to the emergency department after experiencing a bicycle handlebar injury. He complained about abdominal pain and had vomited twice. At physical examination, according to the Advanced Pediatric Life Support protocol, he had normal vitals results with pain during palpation of the left abdominal region without guarding. His hemoglobin level was 12.3 g/dL (to convert to grams per liter, multiply by 10) (normal value, 10.5-16.1 g/dL), amylase 68 U/L (to convert to microkatals per liter, multiply by 0.0167) (normal value, <85 U/L), and lipase 25 U/L (normal value, <60 U/L). A plain chest radiography result showed no signs of traumatic injury. Abdominal ultrasonography results showed a bowel loop with a thickened wall in the left abdominal region with no free abdominal fluid. He was admitted to the pediatric ward for close observation. The next day, his vomiting persisted, especially after oral intake. Computed tomography with oral and intravenous contrast was performed (Figure 1). Computed tomography, axial reconstruction (A) and coronal reconstruction (B). What Is Your Diagnosis?",Intramural small bowel hematoma,easy
"A woman in her mid-20s who was 8 weeks pregnant presented to the emergency department for abdominal pain localized in the right iliac fossa (RIF), numbness in the right lower limb, and nausea and vomiting. On examination she had tenderness in the RIF with a positive Blumberg sign; blood testing showed leukocyte count 10 450/μL (to convert to ×109/L, multiply by 0.001) without any shift, C-reactive protein 1.29 mg/dL (to convert to nanomoles per liter, multiply by 0.331), and hemoglobin 11.4 g/dL (to convert to grams per liter, multiply by 10). The Alvarado score was 7. A transabdominal ultrasonographic scan showed a tubular structure in the RIF consistent with a mildly inflamed appendix and stratification of the appendiceal wall (7 mm in the proximal and 11 mm in the appendiceal distal tract). A small amount of free fluid was present in the Douglas pouch. A transvaginal ultrasonographic scan confirmed normal intrauterine gestation with a vital embryo. Working diagnosis was uncomplicated appendicitis and initial conservative management was amoxicillin clavulanate because of the potential risks of miscarriage associated with performing an avoidable appendectomy and general anesthesia during early gestation. The patient initially improved and was discharged home 2 days later with an Alvarado score of 4; oral antibiotic therapy was continued. Three days later she returned to the emergency department with recurrent pain; the clinical and ultrasonographic findings were unchanged, without evidence of complicated appendicitis, intra-abdominal fluid collection, or abscess. The Alvarado score was 5. The patient was admitted to the surgical ward and given intravenous antibiotics. In the next 48 hours the symptoms and pain did not resolve, although inflammatory markers were low and the patient was not septic. The surgeon on call requested an urgent magnetic resonance imaging (MRI) investigation (Figure 1). Magnetic resonance imaging showed the gestational chamber and a normal intrauterine pregnancy as well as the presence of a tubular structure in the right iliac fossa (RIF) (A) and what appeared to be an inflamed, thickened appendix (9.83 mm in the proximal appendix) (B). What Is Your Diagnosis?",Heterotopic pregnancy,hard
"A patient in her 50s with a history of type 2 diabetes and mild bilateral nonproliferative diabetic retinopathy presented with new-onset floaters in both eyes but no blurry vision, eye pain, or photopsia. This patient was recently discharged from the hospital for West Nile virus (WNV) encephalitis (confirmed seropositive for IgM and IgG antibodies against WNV). Polymerase chain reaction analyses detected no DNA for Epstein-Barr virus, BK virus, cytomegalovirus, or herpes simplex virus types 1 and 2. Neither HIV antibody nor antigen was detected. Cerebrospinal fluid culture analysis findings were normal. She received supportive treatment and made a full recovery. The patient’s corrected visual acuity was 20/20 OU, and her intraocular pressure was 14 mm Hg OU. Anterior segment examination findings were unremarkable for both eyes. Dilated fundus examination revealed microaneurysms, a dot-blot hemorrhage, and scattered, deep, white, chorioretinal lesions in the posterior pole and periphery that were more numerous in the right than left eye (Figure 1A). Vitritis was absent. Fluorescein angiography showed chorioretinal lesions with central hypofluorescence and peripheral hyperfluorescence (Figure 1B). A, Deep, white, creamy lesions (arrowheads) are observed in the posterior pole of the right eye. The dot-blot hemorrhage inferior to the fovea is secondary to nonproliferative diabetic retinopathy. B, Fluorescein angiogram of the posterior pole of the right eye showing lesions (arrowheads) with a hypofluorescent center and surrounding hyperfluorescence. What Would You Do Next?",Observe,medium
"A 16-year-old girl with a history of T-cell lymphoblastic lymphoma and stem cell transplant presented with blurry vision in the left eye. One day prior, she developed a new-onset right facial palsy in addition to bilateral eyelid, lip, and feet swelling. Ophthalmologic evaluation revealed visual acuities of 20/20 OD and 20/800 OS. The left eye showed a relative afferent pupillary defect and decreased color vision. Extraocular movements, confrontation visual fields, and intraocular pressures were within normal limits. Anterior segment examination was unremarkable in both eyes. Dilated fundus examination revealed optic nerve head edema and peripapillary hemorrhages bilaterally, greater in the left eye than in the right eye (Figure 1). Scattered peripheral hemorrhages were present, consistent with thrombocytopenia at the time. Clinical photograph demonstrating optic nerve head edema. A, Fundus photograph of the right eye demonstrating lymphomatous optic nerve infiltration and peripapillary hemorrhages. B, Fundus photograph of the left eye showing similar yet more severe peripapillary changes. What Would You Do Next?",Order magnetic resonance imaging for the orbits and brain,easy
"A woman in her 60s underwent evaluation of an unusual optical coherence tomography (OCT) finding. She had no ocular complaints. Her ocular history included myopia with a spherical equivalent of −5.50 OD and −4.00 OS, normal-tension glaucoma controlled with latanoprost in both eyes, and mild cataracts. Systemic medical history included use of aspirin, 81 mg/d, and a multivitamin. She frequently consumed alcohol; however, she denied smoking or recreational drug use. She denied any known allergies, and findings of review of systems were unremarkable. Best-corrected visual acuity was 20/20 OU. Extraocular movements were intact, and pupils were round and reactive with no afferent pupillary defect. Intraocular pressure by pneumotonometry was 16 OD mm Hg and 19 mm Hg OS, and visual fields by confrontation were full in both eyes. Anterior segment examination showed 1+ nuclear sclerosis in both eyes. Dilated fundus examination revealed a posterior vitreous detachment and tilted optic nerves with adjacent myopic crescents in both eyes. A small, yellowish orange discontinuity was found in the inferior peripapillary region of the optic conus in the right eye (Figure, A). The macula was flat with a sharp foveal reflex, and the peripheral retina was unremarkable in both eyes. Color fundus photography (A) and optical coherence tomography (B) of peripapillary changes. The color fundus image demonstrates a yellow-orange region inferior to the optic nerve, with arrowheads denoting the full extent of the peripapillary intrachoroidal cavitation. The optical coherence tomographic image shows a hyporeflective expansive cavity with bowing of the posterior sclera, increased scleral reflectance, adjacent choroidal schisis, and a nerve fiber layer defect. What Would You Do Next?",Order visual field testing and observe closely for serous macular detachment,hard
"A 70-year-old man with diabetes and a history of bilateral ocular trauma from a remote gunpowder explosion with resulting bilateral cicatricial lagophthalmos, corneal and conjunctival scarring, and secondary open-angle glaucoma developed persistently elevated intraocular pressures (approximately 30 mm Hg) in the right eye while receiving maximal medical therapy. His baseline visual acuity was count fingers OD. Transscleral cyclophotocoagulation (TSCPC) was recommended over filtering surgery because of extensive conjunctival scarring and lagophthalmos. Transscleral cyclophotocoagulation was performed with 19 spots (1300-1500 mW) at 3 seconds each, without audible pops, and sparing the superotemporal quadrant. The day after treatment, the patient was comfortable with an intraocular pressure of 23 mm Hg. Two weeks later, he developed pain and redness while receiving a steroid taper, and examination revealed episcleritis and a small scleral depression temporally. Topical prednisolone therapy was increased; however, during subsequent weeks, his pain intensified. Examination on postoperative day 37 revealed stable visual acuity of count fingers, intraocular pressure of 19 mm Hg, no hypopyon, but a diffusely injected conjunctiva with a creamy fluctuant elevated lesion temporally (Figure). What Would You Do Next?",Perform exploratory surgery in the operating room and start a high dose of systemic steroids,medium
"A woman in her 80s with a history of recurrent oral cancer presented with a new, biopsy-confirmed, squamous cell carcinoma (SCC). Her oncologic history began 16 years ago with diagnosis and local resection of a lesion on the palate. Cancer recurrence at the left buccal mucosa was identified and excised 10 years later. She then was diagnosed with 3 recurrences of SCC in rapid succession. Each malignant neoplasm was locally resected and the patient was also treated with adjuvant radiotherapy for the last episode. She remained asymptomatic, and a routine surveillance clinical examination uncovered a sixth lesion at the margin of a palatal graft. The patient’s medical history was also noted for a total thyroidectomy in the 1950s, complicated by recurrent laryngeal nerve injury. She had a history of tobacco use and stopped smoking cigarettes in the 1970s. Physical examination and laryngoscopy findings confirmed a painless lesion on the left side of the palate and immobility of the left vocal cord. No other mucosal lesion was identified. Positron emission tomography (PET) was performed to assess extent of disease and to plan treatment. The PET scan results showed focal fludeoxyglucose F 18 localization within the known oral cavity SCC (Figure 1A) and in a small, level IIA lymph node, located lateral to the upper right internal jugular vein. There was unexpected, prominent, metabolic activity in the medial and asymmetrically enlarged left vocal cord (Figure 1B). A, Positron emission tomography reveals focal fludeoxyglucose F 18 uptake in biopsy-confirmed squamous cell carcinoma of the left palatal graft margin (arrowhead). B, Increased metabolic activity in the left vocal cord (arrowhead). What Is Your Diagnosis?",Inflammatory reaction,hard
"A 26-year-old man presented to our outpatient clinic with worsening dyspnea on exertion and leg swelling. He denied chest pain, orthopnea, and paroxysmal nocturnal dyspnea. The patient reported an incremental decline of daily activities because of progressive muscle weakness. He had no relevant medical history and was taking no medications. He denied smoking, drugs, or alcohol abuse. Family history was significant for early death of his maternal uncle who had congestive heart failure. His younger brother also had progressive weakness but no dyspnea. Physical examination was significant for normal heart sounds with bilateral basal rales on lung auscultation and swollen lower extremities with trace edema. Bloodwork revealed a mildly elevated alanine aminotransferase level of 77 U/L (normal level, <41 U/L; to convert to microkatals per liter, multiply by 0.0167) and aspartate aminotransferase level of 47 U/L (normal level, <38 U/L; to convert to microkatals per liter, multiply by 0.0167). Cardiac profile showed normal troponin-I levels, mildly elevated brain-type natriuretic peptide level of 142 pg/mL (normal level, <125 pg/mL; to convert to nanograms per liter, multipy by 1), and elevated serum creatine kinase level of 666 U/L (normal level, 20-200 U/L; to convert to microkatals per liter, multiply by 0.0167) and creatine kinase–MB fraction level of 10 ng/mL (normal level, <6.7 ng/mL; to convert to micrograms per liter, multiply by 1). Electrocardiogram  (ECG) on presentation is shown inFigure 1, which has not changed compared with an ECG a year before presentation. Echocardiography showed global hypokinesia with a left ventricular ejection fraction (LVEF) of 35%. The right ventricle was moderately dilated with impaired systolic function. What Would You Do Next?",Genetic testing,hard
"A woman in her 40s presented with a 2-month history of a slowly enlarging, asymptomatic anterior septal mass. She denied a history of localized trauma, substance abuse, or prior endonasal surgery. Examination revealed a nontender, 8-mm, pink-red, soft, fleshy growth just posterior to the membranous septum near the nostril apex. Histopathological analysis demonstrated a well-circumscribed submucosal lesion comprised of bland, round, syncytial cells, arranged in a concentric fashion around variably sized slit-like vascular spaces, a minority of which were staghorn in appearance (Figure, A-C). No significant perivascular hyalinization was identified. The overlying nasal mucosa and surrounding submucosal glands were unremarkable. Immunohistochemical stains demonstrate the cellular population to be strongly positive for smooth-muscle actin (SMA), muscle-specific actin, and CD34 (Figure, D), but negative for B-catenin and epithelial membrane antigen. Histopathology of asymptomatic septal mass shows (A) a well-circumscribed, unencapsulated lesion based in the submucosa with an intact overlaying squamous and respiratory mucosa (hematoxylin-eosin); (B) bland, vaguely spindled cells arranged around prominent thin-walled vessels with a “staghorn” branching configuration (hematoxylin-eosin); (C) the lesional cells are oval to spindle-shaped with abundant cytoplasm and ill-defined cell borders (hematoxylin-eosin); (D) the lesional cells are stained diffusely with myoid markers, including smooth-muscle actin and muscle-specific actin (muscle-specific actin stain). What Is Your Diagnosis?",Myopericytoma,medium
"A man in his 60s presented with a 6-month history of dysphagia, a 3-month history of a 2.268-kg weight loss (to convert to pounds, divide by 0.454), and a right neck mass. Tobacco history was minimal and distant, and alcohol use was social only. Physical examination, including flexible nasolaryngoscopy, was notable for a large smooth nonulcerated right base of tongue mass with almost complete pharyngeal airway obstruction, and a 4-cm right level II lymph node. Computed tomography (CT) imaging revealed a 3-cm base of tongue–lingual tonsil mass with multiple right Ib, IIa, and II/III nodes, the largest of which was 2.0 cm by 3.0 cm. Awake tracheotomy and direct laryngoscopy with biopsy of right base of tongue mass lesion was performed. Histological analysis showed sheets and clusters of small round-oval uniform cells with minimal cytoplasm, granular chromatin pattern, and prominent nuclear molding (Figure, A) with positive immunoreactivity for cytokeratin (CK) 7 (Figure, B) and synaptophysin (Figure, C); a high mitotic rate was also exhibited (Figure, D). The cells were negative for CK 5 and 6, CK 20, NUT, p63, and chromogranin. Polymerase chain reaction (PCR) detected human papillomavirus (HPV) 16 DNA and did not detect HPV 6, 11, and 18 DNA. Histopathological analysis of the tongue lesion shows (A) sheet-like growth pattern with Azzopardi-type crush artifactual distortion of the neoplastic cells (original magnification ×100) (the insert shows round-oval compact molded nuceli, a high nuclear:cytoplasmic ratio, and granular chromatin pattern without conspicuous nucleoli [original magnification ×400]); B, cytokeratin 7–positive immunoreactivity (original magnification ×200); C, synaptophysin-positive tumor cells (original magnification ×200); and D, a high proliferation rate by Ki-67 staining (original magnification ×200). What Is Your Diagnosis?",Small-cell carcinoma,hard
"A man in his 60s presented to the otolaryngology clinic with a 1-month history of clear drainage from his left naris during activity. Approximately 1 month prior he had been admitted to the hospital and treated for meningitis. During his hospital course, a computed tomographic (CT) scan of his head revealed a lytic lesion of the left occipital bone. After treatment with intravenous antibiotics and steroids, his neurologic examination results returned to baseline, and he was discharged home. Magnetic resonance imaging (MRI) was deferred to the outpatient setting. At the otolaryngologist’s office, the patient stated that he had not experienced otalgia, otorrhea, tinnitus, or vertigo. His examination revealed clear nasal discharge and a normal otoscopic finding. His audiogram demonstrated normal sloping to moderate sensorineural hearing loss with type A tympanometry result on the right and type A on the left. His word recognition score was 100% bilaterally. The collection of nasal discharge for β-2 transferrin analysis was attempted, but insufficient quantity was obtained. To evaluate for a skull base defect and cerebrospinal fluid (CSF) leak, a noncontrast CT scan of the temporal bones was obtained (Figure, A and B). This demonstrated a large area of bony destruction and osteolysis involving the left occipital bone. A T2-weighted MRI sequence showed a lesion, isointense to CSF, with thinning of the bony cortex (Figure, C and D). Based on the imaging, the differential diagnosis included metabolic, infectious, or metastatic lesions to the bone. A and B, Noncontrast temporal bone computed tomographic images. C, T2-weighted fast imaging using steady state acquisition magnetic resonance imaging sequence demonstrating a signal isointense to cerebrospinal fluid in the left occipital bone. D, Reformatted postcontrast T1 image shows the herniation of nonenhancing meninges through the defect. What Is Your Diagnosis?",Intradiploic meningoencephalocele,hard
"A 25-year-old woman presented for evaluation of poor vision and photophobia present since childhood. She had fair skin, platinum white hair (Figure 1, left panel), and blue eyes. At age 24 years, she underwent resection of a cutaneous melanoma (stage T1bN1a) from the upper chest, with no signs of recurrence or metastasis. She was of Italian, German, and Slovak ancestry. She had a history of congenital horizontal nystagmus, which was pendular, ie, occurring in 2 phases of equal speed (Video). Best-corrected visual acuities were 20/60 bilaterally. The irides were blue, although by retro-illumination with a light beam perpendicular to the iris plane, they appeared reddish-pink (Figure 1; eFigure in theSupplement). Left, Hypopigmented platinum hair. Right, Hypopigmented eyelashes, and iris lucency on retro-illumination. For comparison with non–retro-illuminated, white light image, see eFigure in the Supplement, panels A and B. What Would You Do Next?",Inquire about history of frequent infections and abnormal bleeding,easy
"A 59-year-old black woman with a history of hypertension, hyperlipidemia, and type 2 diabetes presented with a 2-month history of a rapidly enlarging tender nodule on her right fifth digit. She denied fevers, joint pain, joint stiffness, inciting trauma, or recent outdoor activity. She had no history of immunosuppression. Results of a recent complete blood cell count and comprehensive metabolic profile were unremarkable. Physical examination showed a single 25-mm, firm, dome-shaped subcutaneous nodule with central ulceration on the lateral aspect of the right fifth digit (Figure 1). There was no erythema, edema, fluctuance, induration, or lymphangitis surrounding the lesion. No lymphadenopathy was present. Dome-shaped subcutaneous nodule with central ulceration on the lateral aspect of the right fifth digit. What Would You Do Next?",Biopsy the lesion,easy
"A toddler with a history of neurofibromatosis type 1 (NF1) and juvenile xanthogranulomas presented to the clinic for an eruption on his trunk that began 2 months previously with multiple round red patches that had been slowly increasing in size. Treatment with griseofulvin and clotrimazole had not improved the rash. One day prior to presentation he had developed a fever and was diagnosed with otitis media in the emergency department. Acetaminophen, ibuprofen, and amoxicillin were used for treatment, but the child was receiving no other medications. Physical examination revealed multiple annular, indurated, dusky red plaques with central clearing and trailing scale ranging from 1 to 6 cm in diameter on his trunk (Figure, A and B). A 4-mm punch biopsy of the largest lesion on his back was performed and sent for histopathologic examination (Figure, C). A and B, Annular dusky red indurated plaques on the right flank with central clearing and trailing scale. Scattered café au lait macules and annular dusky red indurated plaques with central clearing and trailing scale on the back. C, Hematoxylin-eosin stain (original magnification ×40) demonstrates perivascular and periadnexal infiltrate. D, Hematoxylin-eosin stain (original magnification ×400). What Is Your Diagnosis?",Leukemia cutis,easy
"A 69-year-old woman presented for the evaluation of a slowly progressive, asymptomatic cutaneous eruption on her hands and forearms, as well as an enlarging, painful ulcer on her left leg that developed 6 months earlier. Her medical history was notable for essential thrombocytosis, which had been complicated by portal vein thrombosis, and she had been receiving treatment with hydroxyurea and rivaroxaban for the past 2 years. Despite worsening cutaneous disease, she otherwise felt well and denied associated fevers, weakness, weight loss, myalgias, arthralgias, or other constitutional symptoms. Physical examination revealed atrophic and reticulated violaceous plaques with a striking photoaccentuated distribution on the patient’s dorsal hands and forearms (Figure, A). Scaly, violaceous plaques were also present on the thenar eminences and radial aspects of her first 2 fingers bilaterally (Figure, B). Prominent poikiloderma was seen on her sun-exposed chest and neck, and a large, stellate ulcer was present on her left distal lower leg (Figure, C). A lesional skin biopsy was performed on the patient’s left forearm (Figure, D). A, Clinical photograph of violaceous reticulated plaques on the dorsal aspect of the hands. B, Clinical photograph of violaceous, scaly plaques on the thenar and radial aspects of the thumb and second digit (mechanic hands). C, Clinical photograph of a shallow ulcer with stellate margins on the left distal lower leg. D, Histopathology (hematoxylin-eosin stain, original magnification x100). What Is Your Diagnosis?",Hydroxyurea-induced dermatomyositis-like eruption,medium
"A woman in her 40s presented with a 4-hour history of ataxia and left-sided hemidysesthesia. Annular patches of violaceous erythema forming an irregular net-like pattern were noted on her trunk and extremities (Figure, A and B). The patient stated that these skin changes had appeared 2 years prior. Her medical history was significant for 5 strokes over the past 6 years and Raynaud syndrome for the past 2 years. In the past, despite extensive workup, no definitive diagnosis had been established. Complete blood cell count, liver function tests, creatinine, C-reactive protein, erythrocyte sedimentation rate, and urinalysis results were normal. Antinuclear antibodies and complement C3 and C4 levels were unremarkable. Antiphospholipid antibody and lupus anticoagulant screening results were repeatedly negative and no evidence of thrombophilia was found. Magnetic resonance imaging showed acute dot-like diffusion anomalies in the medial and posterior cerebral artery-supplied areas, as well as old stroke residues (Figure, C). Transesophageal echocardiography showed no abnormalities. A skin biopsy sample was taken from the patient’s left thigh (Figure, D). A, Patient’s lower back and buttocks and, B, thighs and upper calves show generalized, irregular, violaceous, net-like erythema. C, Magnetic resonance imaging of the brain showing old stroke residues. D, Hematoxylin-eosin stain (original magnification ×10). What Is Your Diagnosis?",Sneddon syndrome,medium
